'experiment_name','model_name','vocab_size','max_seq_length','to_lower','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
rcnn_letter_case_4,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.95184183,0.72901803,0.888755,0.7459625,0.9582886,0.7164132,0.717999019127023,0.717999019127023,0.7179990191270229,0.3456939375128314,0.2677456118308994,0.3456939375128314,0.672266453666331,0.717999019127023,0.6817568313219524
rcnn_letter_case_5,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9444824,0.7301084,0.8796738,0.74627286,0.9610997,0.71299523,0.7145659637076999,0.7145659637076999,0.7145659637076999,0.3639820043610669,0.27127497281673607,0.3639820043610669,0.6677451756806916,0.7145659637076999,0.6791165971299962
rcnn_letter_case_6,rcnn,10000,128,True,True,50,glove,glove.6B.50d,1.0227517,0.72590667,0.9448354,0.74247104,0.93609506,0.7217843,0.7233938205002453,0.7233938205002453,0.7233938205002454,0.30731266974417154,0.2776401776401234,0.30731266974417154,0.6782606172299774,0.7233938205002453,0.6894658968457973
rcnn_letter_case_7,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9479788,0.7297726,0.8647289,0.74963826,0.9680549,0.71665734,0.7182442373712604,0.7182442373712604,0.7182442373712604,0.3392448939158683,0.2638938754110607,0.3392448939158683,0.6743982030243971,0.7182442373712604,0.6795228906529838
rcnn_letter_case_8,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9520623,0.7291043,0.88633853,0.7433859,0.966108,0.7156808,0.7172633643943109,0.7172633643943109,0.7172633643943109,0.36505900662792773,0.2920866881680901,0.36505900662792773,0.6828810601057774,0.7172633643943109,0.6800221751416692
rcnn_letter_case_9,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9480667,0.7320426,0.9043237,0.7459158,0.9290826,0.7234933,0.7251103482099068,0.7251103482099068,0.7251103482099069,0.36366083495641854,0.26167453842473276,0.36366083495641854,0.6802002809328749,0.7251103482099068,0.6906058543366808
rcnn_letter_case_10,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.94688964,0.73167735,0.8931133,0.7433509,0.9240854,0.72154015,0.7231486022560079,0.7231486022560079,0.7231486022560077,0.359200353392787,0.2611432669789312,0.359200353392787,0.6847044904012012,0.7231486022560079,0.6843111737334008
lstm_letter_case_1,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.85653263,0.7433845,0.8470075,0.7505881,0.9364745,0.7260045,0.7273173124080432,0.7273173124080432,0.7273173124080432,0.4117993663670245,0.29551822376055176,0.4117993663670245,0.6931873880381252,0.7273173124080432,0.6899215815575207
lstm_letter_case_2,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.86434627,0.741025,0.8331578,0.75186473,0.93381625,0.73235214,0.7336929867582148,0.7336929867582148,0.7336929867582148,0.44816595417866784,0.3101185795609293,0.44816595417866784,0.6988866764256462,0.7336929867582148,0.7010982495939699
lstm_letter_case_3,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.8514962,0.744254,0.82815623,0.7545253,0.93303,0.7225865,0.7238842569887199,0.7238842569887199,0.7238842569887199,0.4002010452201109,0.30939757297119536,0.4002010452201109,0.6997671190642989,0.7238842569887199,0.6906837632585245
lstm_letter_case_4,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.8527988,0.7448154,0.8392747,0.7535171,0.92267734,0.7382115,0.7395782246199117,0.7395782246199117,0.7395782246199116,0.4144888486594562,0.3251548369629418,0.4144888486594562,0.7042419414360371,0.7395782246199117,0.7090740277096976
lstm_letter_case_5,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.8841195,0.74049,0.85800844,0.75008404,0.9886091,0.7181222,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.3959953619144548,0.30141030060420154,0.3959953619144548,0.6800525009678873,0.7197155468366846,0.6873352477015886
lstm_letter_case_6,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.858442,0.74287057,0.8317622,0.7538882,0.9378338,0.7295968,0.7312408043158412,0.7312408043158412,0.731240804315841,0.4027369135298161,0.3161959172393818,0.4027369135298161,0.6896537039326779,0.7312408043158412,0.7002773928441235
lstm_letter_case_7,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.85267067,0.7439889,0.83325887,0.7507445,0.926531,0.7278181,0.7297694948504169,0.7297694948504169,0.729769494850417,0.39736268801943975,0.32055064126934274,0.39736268801943975,0.6922675740939409,0.7297694948504169,0.6989932875645655
lstm_letter_case_8,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.87067086,0.742141,0.861708,0.75013536,0.9576999,0.72283065,0.7241294752329573,0.7241294752329573,0.7241294752329572,0.41782304660446795,0.2941549973520186,0.41782304660446795,0.7011256351528976,0.7241294752329573,0.6899883545576448
lstm_letter_case_9,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.8625456,0.74352914,0.8400268,0.75329536,0.92142606,0.73113143,0.7324668955370279,0.7324668955370279,0.7324668955370279,0.38801410791550756,0.2816236885735032,0.38801410791550756,0.6934797155877518,0.7324668955370279,0.6997496315848625
lstm_letter_case_10,lstm,10000,128,True,True,50,glove,glove.6B.50d,0.85340774,0.74345607,0.8144587,0.7555172,0.90907913,0.7255162,0.7268268759195684,0.7268268759195684,0.7268268759195684,0.3806381784783035,0.288263564769205,0.3806381784783035,0.6862581984579891,0.7268268759195684,0.6943818116708486
bi_lstm_letter_case_1,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.85646236,0.7431784,0.8702193,0.74447584,0.92742604,0.72446984,0.7260912211868563,0.7260912211868563,0.7260912211868563,0.39122547590971923,0.30858315864552416,0.39122547590971923,0.6882041060578232,0.7260912211868563,0.6942742650706047
bi_lstm_letter_case_2,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.87577087,0.7404111,0.84775215,0.74841535,0.95706594,0.73106164,0.7327121137812653,0.7327121137812653,0.7327121137812653,0.39298670206177705,0.3209036989030814,0.39298670206177705,0.6968230709503852,0.7327121137812653,0.7032103474384488
bi_lstm_letter_case_3,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.87158793,0.74105257,0.8378657,0.7495286,0.956141,0.7239118,0.7258460029426189,0.7258460029426189,0.7258460029426189,0.37424726405076214,0.3246716375562726,0.37424726405076214,0.6885944699752445,0.7258460029426189,0.6927949817450535
bi_lstm_letter_case_4,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.87367666,0.74023557,0.84811324,0.7494749,0.9174126,0.7313058,0.7329573320255027,0.7329573320255027,0.7329573320255026,0.39175239526321076,0.3075343638062644,0.39175239526321076,0.6917579513042112,0.7329573320255027,0.7012616561222077
bi_lstm_letter_case_5,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.8779438,0.73929554,0.8333708,0.7521448,0.94689107,0.71146065,0.713339872486513,0.713339872486513,0.713339872486513,0.3792759754801912,0.2945766373936916,0.3792759754801912,0.6746428917907408,0.713339872486513,0.6768649012522959
bi_lstm_letter_case_6,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.8515337,0.74443173,0.8474768,0.7491692,0.93370944,0.7200753,0.7216772927905836,0.7216772927905836,0.7216772927905836,0.3440932247237659,0.3037476132881829,0.3440932247237659,0.6844586040198672,0.7216772927905836,0.6848909370024875
bi_lstm_letter_case_7,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.8776418,0.7398452,0.84086263,0.7512463,0.9642429,0.71665734,0.7182442373712604,0.7182442373712604,0.7182442373712604,0.3602347190105278,0.29985727412682717,0.3602347190105278,0.6817293948041053,0.7182442373712604,0.681603997628169
bi_lstm_letter_case_8,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.881268,0.7388121,0.85317284,0.74649924,0.94066215,0.72869,0.7300147130946543,0.7300147130946543,0.7300147130946544,0.360410774834291,0.2895086967810678,0.360410774834291,0.688809910871034,0.7300147130946543,0.6918964963895615
bi_lstm_letter_case_9,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.86740804,0.7411653,0.8503433,0.7481376,0.94681865,0.7210519,0.7226581657675331,0.7226581657675331,0.7226581657675331,0.409460717197114,0.30619681142427085,0.409460717197114,0.691739853165117,0.7226581657675331,0.6885571392797257
bi_lstm_letter_case_10,bi_lstm,10000,128,True,True,50,glove,glove.6B.50d,0.88103515,0.740999,0.8715027,0.7502777,0.9125853,0.7254464,0.7270720941638058,0.7270720941638058,0.7270720941638059,0.3616567250390878,0.3057895596993663,0.3616567250390878,0.6913057729225144,0.7270720941638058,0.6923398737086046
gru_letter_case_1,gru,10000,128,True,True,50,glove,glove.6B.50d,0.95246017,0.72898054,0.89511675,0.74498224,0.95467037,0.71543664,0.7170181461500735,0.7170181461500735,0.7170181461500735,0.40663515212253776,0.28301686947743876,0.40663515212253776,0.6936370169997749,0.7170181461500735,0.6810715962484741
gru_letter_case_2,gru,10000,128,True,True,50,glove,glove.6B.50d,0.9609153,0.7271382,0.9069369,0.7393624,0.94300646,0.7156808,0.7172633643943109,0.7172633643943109,0.7172633643943109,0.3841759981179312,0.27927164034903046,0.3841759981179312,0.6742996863862019,0.7172633643943109,0.6794075990664865
gru_letter_case_3,gru,10000,128,True,True,50,glove,glove.6B.50d,0.95593023,0.72822315,0.9134843,0.74181056,0.9305775,0.72293526,0.7248651299656694,0.7248651299656694,0.7248651299656694,0.3614032869506612,0.28030249956095643,0.3614032869506612,0.6793345093878324,0.7248651299656694,0.6925687193894838
gru_letter_case_4,gru,10000,128,True,True,50,glove,glove.6B.50d,0.9573157,0.72875416,0.90790284,0.74511296,0.9302117,0.7216797,0.7226581657675331,0.7226581657675331,0.7226581657675331,0.40533248572389696,0.27888209973035183,0.40533248572389696,0.6962762897955348,0.7226581657675331,0.6885321003701051
gru_letter_case_5,gru,10000,128,True,True,50,glove,glove.6B.50d,0.9556852,0.72863793,0.91622686,0.74090505,0.9431881,0.7183663,0.719960765080922,0.719960765080922,0.7199607650809219,0.3564420122396903,0.2762238173348697,0.3564420122396903,0.6784135528640323,0.719960765080922,0.6828937950598649
gru_letter_case_6,gru,10000,128,True,True,50,glove,glove.6B.50d,0.9542608,0.7290143,0.9081547,0.7419226,0.9570933,0.71079797,0.7123589995095635,0.7123589995095635,0.7123589995095634,0.35865711886413226,0.27856271583721337,0.35865711886413226,0.6752872870444716,0.7123589995095635,0.6740142485005307
gru_letter_case_7,gru,10000,128,True,True,50,glove,glove.6B.50d,0.9442389,0.7295961,0.889835,0.74350727,0.95554465,0.7200753,0.7216772927905836,0.7216772927905836,0.7216772927905836,0.33061674126409324,0.2709631037741535,0.33061674126409324,0.6759938288523021,0.7216772927905836,0.6829682209473243
gru_letter_case_8,gru,10000,128,True,True,50,glove,glove.6B.50d,0.95491195,0.7280301,0.9157792,0.7426461,0.9550524,0.7212263,0.7231486022560079,0.7231486022560079,0.7231486022560077,0.36474428733789727,0.29924357794139655,0.36474428733789727,0.6769643705659752,0.7231486022560079,0.6919076762144942
gru_letter_case_9,gru,10000,128,True,True,50,glove,glove.6B.50d,0.95469975,0.7286498,0.912531,0.7428468,0.9473381,0.718192,0.7194703285924473,0.7194703285924473,0.7194703285924474,0.388835121001747,0.28212680481886054,0.388835121001747,0.6788222408545315,0.7194703285924473,0.6836774219947878
gru_letter_case_10,gru,10000,128,True,True,50,glove,glove.6B.50d,0.9485865,0.72974306,0.90764046,0.7426064,0.9509397,0.7181222,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.3659638049626901,0.2760739525787052,0.3659638049626901,0.6803542635229215,0.7197155468366846,0.683944573461799
bi_gru_letter_case_1,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,0.9823895,0.7262099,0.9394232,0.7382515,0.95498115,0.71090263,0.7130946542422756,0.7130946542422756,0.7130946542422756,0.34844182658282447,0.2683678688218527,0.34844182658282447,0.6742816923464999,0.7130946542422756,0.6763939697359416
bi_gru_letter_case_2,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,0.99505603,0.72415894,0.9234805,0.7384499,0.9509835,0.7251325,0.7270720941638058,0.7270720941638058,0.7270720941638059,0.34729881675396745,0.25852110357659724,0.34729881675396745,0.68079877603466,0.7270720941638058,0.6890358141540748
bi_gru_letter_case_3,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,0.9883083,0.72504896,0.9268921,0.74213034,0.9528307,0.71868026,0.719960765080922,0.719960765080922,0.7199607650809219,0.42327701540136065,0.29139028325817184,0.42327701540136065,0.6981115864062609,0.719960765080922,0.6908523446443607
bi_gru_letter_case_4,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,0.9924067,0.72419965,0.9385531,0.74159586,0.96018827,0.71868026,0.719960765080922,0.719960765080922,0.7199607650809219,0.37623883359318755,0.2855439152727862,0.37623883359318755,0.6813201214113861,0.719960765080922,0.6883058281072553
bi_gru_letter_case_5,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,1.0030873,0.72074515,0.93625635,0.7325289,0.9673782,0.70640343,0.7079450711132909,0.7079450711132909,0.7079450711132909,0.39541463505579866,0.2661994149529412,0.39541463505579866,0.6847120902730458,0.7079450711132909,0.6665863380373666
bi_gru_letter_case_6,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,0.9935561,0.72217155,0.9285919,0.7400929,0.94805795,0.71634346,0.7182442373712604,0.7182442373712604,0.7182442373712604,0.3992008560653392,0.2689851887623298,0.3992008560653392,0.6857221664065272,0.7182442373712604,0.6824737615367543
bi_gru_letter_case_7,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,0.9853528,0.7249858,0.9226021,0.7412738,0.9320681,0.7226911,0.724619911721432,0.724619911721432,0.724619911721432,0.3776794366528506,0.28172764269347256,0.3776794366528506,0.682915790694426,0.724619911721432,0.690449733215388
bi_gru_letter_case_8,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,0.98617536,0.7246395,0.92985296,0.7372013,0.96853054,0.7159249,0.7175085826385483,0.7175085826385483,0.7175085826385483,0.4120968853666324,0.28804758115928886,0.4120968853666324,0.6917701190825128,0.7175085826385483,0.6801248895845523
bi_gru_letter_case_9,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,1.0019788,0.7212602,0.93659467,0.7350635,0.94580275,0.71208847,0.713339872486513,0.713339872486513,0.713339872486513,0.3733844231163542,0.28186659845826867,0.3733844231163542,0.6806257781141563,0.713339872486513,0.6750217343662175
bi_gru_letter_case_10,bi_gru,10000,128,True,True,50,glove,glove.6B.50d,0.98875296,0.72327125,0.9244031,0.7437407,0.9660814,0.7181222,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.4756892371152417,0.28704719872696743,0.4756892371152417,0.6928928387177834,0.7197155468366846,0.6847361432599824
cnn_upper_case_1,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7796375,0.7525918,0.84863114,0.742247,0.91022104,0.7233887,0.7243746934771947,0.7243746934771947,0.7243746934771949,0.45597048627862674,0.3259786294478267,0.45597048627862674,0.6933469268585314,0.7243746934771947,0.6937732676815943
cnn_upper_case_2,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.78018683,0.75238305,0.8413775,0.7450406,0.92333233,0.719308,0.719960765080922,0.719960765080922,0.7199607650809219,0.4425981039232458,0.34877678603794554,0.4425981039232458,0.6950009813961205,0.719960765080922,0.6870843633764525
cnn_upper_case_3,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.782786,0.7517791,0.8420369,0.7431292,0.91005397,0.7192383,0.7202059833251594,0.7202059833251594,0.7202059833251594,0.4785126125558879,0.36627246931973434,0.4785126125558879,0.6977046995566923,0.7202059833251594,0.6910536812240331
cnn_upper_case_4,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7798544,0.75291747,0.85899335,0.7425317,0.882868,0.71494836,0.7165277096615988,0.7165277096615988,0.7165277096615988,0.4244542890091917,0.36290387799681784,0.4244542890091917,0.6791298984897741,0.7165277096615988,0.6854962907592458
cnn_upper_case_5,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7803384,0.7529219,0.85633147,0.7446345,0.90396655,0.7235631,0.7248651299656694,0.7248651299656694,0.7248651299656694,0.3902359758076139,0.33674949597144976,0.3902359758076139,0.6861842701356171,0.7248651299656694,0.6941711712829469
cnn_upper_case_6,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7820202,0.751575,0.8346355,0.74958223,0.90513587,0.7123675,0.7145659637076999,0.7145659637076999,0.7145659637076999,0.38929356489002626,0.3303188800882816,0.38929356489002626,0.6738903277177752,0.7145659637076999,0.6859178375448455
cnn_upper_case_7,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7800989,0.75259465,0.84016675,0.74566376,0.9244911,0.7171456,0.7187346738597352,0.7187346738597352,0.7187346738597352,0.41155200047051027,0.30319328325793593,0.41155200047051027,0.6831121182652371,0.7187346738597352,0.6872357527357885
cnn_upper_case_8,cnn,10000,128,False,True,50,glove,glove.6B.50d,0.7833323,0.75188017,0.84268624,0.7455984,0.9083734,0.70769393,0.7089259440902403,0.7089259440902403,0.7089259440902403,0.453953549194715,0.3345500387532271,0.453953549194715,0.6961828182847439,0.7089259440902403,0.6748141222010744
